Operation,Time, Argument1, Argument2, Argument3
checksumPOSIX,0.020278,/mnt/Benchfiles/Data/FASTQ/1_control_18S_2019_minq7.fastq,None,None
checksumPOSIX,0.019650,/mnt/Benchfiles/Data/FASTQ/1_control_18S_2019_minq7.fastq,None,None
checksumPOSIX,0.019801,/mnt/Benchfiles/Data/FASTQ/1_control_18S_2019_minq7.fastq,None,None
checksumPOSIX,0.020244,/mnt/Benchfiles/Data/FASTQ/1_control_18S_2019_minq7.fastq,None,None
checksumPOSIX,0.020940,/mnt/Benchfiles/Data/FASTQ/1_control_18S_2019_minq7.fastq,None,None
checksumPOSIX,0.020871,/mnt/Benchfiles/Data/FASTQ/1_control_18S_2019_minq7.fastq,None,None
checksumPOSIX,0.019777,/mnt/Benchfiles/Data/FASTQ/1_control_18S_2019_minq7.fastq,None,None
checksumPOSIX,0.019553,/mnt/Benchfiles/Data/FASTQ/1_control_18S_2019_minq7.fastq,None,None
checksumPOSIX,0.019525,/mnt/Benchfiles/Data/FASTQ/1_control_18S_2019_minq7.fastq,None,None
checksumPOSIX,0.019635,/mnt/Benchfiles/Data/FASTQ/1_control_18S_2019_minq7.fastq,None,None
checksumPOSIX,0.019563,/mnt/Benchfiles/Data/FASTQ/1_control_18S_2019_minq7.fastq,None,None
checksumPOSIX,0.019535,/mnt/Benchfiles/Data/FASTQ/1_control_18S_2019_minq7.fastq,None,None
checksumPOSIX,0.019586,/mnt/Benchfiles/Data/FASTQ/1_control_18S_2019_minq7.fastq,None,None
checksumPOSIX,0.019749,/mnt/Benchfiles/Data/FASTQ/1_control_18S_2019_minq7.fastq,None,None
checksumPOSIX,0.019716,/mnt/Benchfiles/Data/FASTQ/1_control_18S_2019_minq7.fastq,None,None
